config,n_seeds,i2t_x_mean,i2t_x_std,i2t_y_mean,i2t_y_std,t2i_x_mean,t2i_x_std,t2i_y_mean,t2i_y_std
B0,3,66.01333333333334,0.07023769168569115,32.89444029530696,0.0048272743560009695,53.101333333333336,0.08857388629462415,46.734347826890726,0.01671426117717795
B0_uf5,3,66.13333333333333,0.21385353243127744,32.90249695434993,0.06211444618525874,53.552,0.02433105012119006,46.65393839859348,0.04933094643779339
B0_uf6,1,66.25999999999999,,33.140237016336236,,53.644000000000005,,46.59407491380561,
B0_uf7,1,66.75999999999999,,33.17494593091404,,53.784,,46.5458899279858,
B0plus,1,64.94,,32.52252378142203,,53.308,,46.84083972829215,
B1,3,63.96000000000001,0.11135528725660387,32.07459110770573,0.03014294668653809,51.94133333333334,0.012220201853212955,46.12945723614191,0.08476574901425708
B2,1,65.10000000000001,,32.2254509375487,,52.215999999999994,,46.44501817680174,
B4,1,65.25999999999999,,32.578059279657786,,53.244,,47.02580901573809,
B5a_seg_spatial,1,64.46,,32.39932296546858,,52.528,,46.95961167276686,
B5b_seg_semantic,1,65.24,,32.733916807024684,,52.959999999999994,,46.576089246971804,
B5c_seg_continuous,1,65.64,,32.77864588130718,,53.059999999999995,,46.93370894096253,
